Plataforma,Função,Transferencia,MediaTempo,MenorTempo,MaiorTempo
Docker,Copy:,"9843,60","0,016417","0,016254","0,016608"
Docker,Scale:,"17961,30","0,009094","0,008908","0,009287"
Docker,Add:,"17349,80","0,014020","0,013833","0,014144"
Docker,Triad:,"17382,40","0,014136","0,013807","0,014424"
Docker,Copy:,"9734,80","0,016652","0,016436","0,016891"
Docker,Scale:,"17642,60","0,009197","0,009069","0,009266"
Docker,Add:,"17154,90","0,014243","0,013990","0,014570"
Docker,Triad:,"17138,00","0,014278","0,014004","0,014496"
Docker,Copy:,"9732,30","0,016759","0,016440","0,017105"
Docker,Scale:,"17764,00","0,009274","0,009007","0,009508"
Docker,Add:,"16921,60","0,014331","0,014183","0,014610"
Docker,Triad:,"17083,00","0,014344","0,014049","0,014694"
Docker,Copy:,"9748,40","0,016615","0,016413","0,016928"
Docker,Scale:,"17697,00","0,009235","0,009041","0,009397"
Docker,Add:,"17084,50","0,014260","0,014048","0,014465"
Docker,Triad:,"16901,40","0,014338","0,014200","0,014518"
Docker,Copy:,"9780,50","0,016510","0,016359","0,016999"
Docker,Scale:,"17789,40","0,009093","0,008994","0,009223"
Docker,Add:,"17328,60","0,014005","0,013850","0,014202"
Docker,Triad:,"17232,70","0,014131","0,013927","0,014797"
Docker,Copy:,"9796,10","0,016694","0,016333","0,017302"
Docker,Scale:,"17484,50","0,009309","0,009151","0,009477"
Docker,Add:,"16902,60","0,014391","0,014199","0,014875"
Docker,Triad:,"16828,00","0,014393","0,014262","0,014637"
Docker,Copy:,"9710,40","0,016835","0,016477","0,017264"
Docker,Scale:,"17517,30","0,009289","0,009134","0,009557"
Docker,Add:,"17087,90","0,014290","0,014045","0,014613"
Docker,Triad:,"17020,00","0,014345","0,014101","0,014752"
Docker,Copy:,"9708,60","0,016733","0,016480","0,017157"
Docker,Scale:,"17578,30","0,009221","0,009102","0,009377"
Docker,Add:,"17028,70","0,014208","0,014094","0,014445"
Docker,Triad:,"17099,00","0,014313","0,014036","0,014617"
Rocket, Copy:,"9773,90","0,016576","0,016370","0,016807"
Rocket, Scale:,"17685,80","0,009203","0,009047","0,009460"
Rocket, Add:,"17151,40","0,014162","0,013993","0,014378"
Rocket, Triad:,"16913,40","0,014372","0,014190","0,014530"
Rocket, Copy:,"10007,40","0,016248","0,015988","0,016700"
Rocket, Scale:,"18060,90","0,009017","0,008859","0,009169"
Rocket, Add:,"17297,30","0,013986","0,013875","0,014123"
Rocket, Triad:,"17289,90","0,014085","0,013881","0,014264"
Rocket, Copy:,"9650,10","0,016664","0,016580","0,016811"
Rocket, Scale:,"17427,30","0,009341","0,009181","0,009545"
Rocket, Add:,"16919,10","0,014372","0,014185","0,014465"
Rocket, Triad:,"16799,60","0,014461","0,014286","0,014749"
Rocket, Copy:,"9695,90","0,016917","0,016502","0,017267"
Rocket, Scale:,"17471,30","0,009368","0,009158","0,009531"
Rocket, Add:,"16787,80","0,014539","0,014296","0,015004"
Rocket, Triad:,"16679,40","0,014611","0,014389","0,014843"
Rocket, Copy:,"9649,00","0,016774","0,016582","0,016940"
Rocket, Scale:,"17417,80","0,009362","0,009186","0,009569"
Rocket, Add:,"17123,40","0,014430","0,014016","0,014656"
Rocket, Triad:,"16843,50","0,014663","0,014249","0,015114"
Rocket, Copy:,"9744,80","0,016816","0,016419","0,017133"
Rocket, Scale:,"17521,00","0,009337","0,009132","0,009528"
Rocket, Add:,"16877,60","0,014465","0,014220","0,014609"
Rocket, Triad:,"16837,30","0,014522","0,014254","0,014712"
Rocket, Copy:,"9636,80","0,016782","0,016603","0,016978"
Rocket, Scale:,"17613,40","0,009199","0,009084","0,009390"
Rocket, Add:,"17018,90","0,014281","0,014102","0,014585"
Rocket, Triad:,"16889,50","0,014381","0,014210","0,014536"
Rocket, Copy:,"9704,70","0,016662","0,016487","0,016940"
Rocket, Scale:,"17336,30","0,009323","0,009229","0,009450"
Rocket, Add:,"16869,40","0,014402","0,014227","0,014558"
Rocket, Triad:,"16708,40","0,014529","0,014364","0,014807"
Rocket, Copy:,"9683,00","0,016791","0,016524","0,017365"
Rocket, Scale:,"17395,20","0,009384","0,009198","0,009681"
Rocket, Add:,"16922,80","0,014566","0,014182","0,014856"
Rocket, Triad:,"16671,10","0,014581","0,014396","0,014970"
Rocket, Copy:,"9877,70","0,016557","0,016198","0,016958"
Rocket, Scale:,"17833,40","0,009127","0,008972","0,009473"
Rocket, Add:,"17218,90","0,014116","0,013938","0,014247"
Rocket, Triad:,"17080,70","0,014256","0,014051","0,014421"
